lat,long,Prov_ID,province_id,name
30.4453918762,-1.6190759335,5,5,Gatsibo
29.7227253821,-1.954890711,2,5,Muhanga
30.1138711657,-1.621576646,4,5,Gicumbi
30.1437249821,-2.0088636794,1,5,Kicukiro
29.987226855,-1.7392835868,4,5,Rulindo
29.5168759031,-2.6948438703,2,5,Nyaruguru
30.3547358517,-1.9754965107,5,5,Rwamagana
29.9024032069,-2.0094464609,2,1,Kamonyi
30.1422120483,-1.8914473371,1,1,Gasabo
29.5694650189,-1.8778448551,3,1,Ngororero
29.3426933541,-1.6539693383,3,4,Rubavu
29.4698787721,-2.4113561893,2,4,Nyamagabe
29.8265446556,-1.4662429804,4,4,Burera
29.5105153756,-1.647392179,3,4,Nyabihu
29.7842366396,-1.6985305835,4,4,Gakenke
29.1662303384,-2.373508847,3,2,Nyamasheke
30.7103447379,-2.2343961263,5,2,Kirehe
30.379925035,-1.3382488555,5,2,Nyagatare
30.1501661938,-2.2397657169,5,2,Bugesera
29.4313206962,-2.1567072118,3,2,Karongi
29.7087951343,-2.5246445793,2,2,Huye
29.6065974376,-1.4985352915,4,2,Musanze
29.0874306181,-2.5653716235,3,2,Rusizi
30.4571880273,-2.1829929605,5,3,Ngoma
30.0288653613,-1.9920047551,1,3,Nyarugenge
29.8436033861,-2.6181118883,2,3,Gisagara
30.6419786109,-1.8451255953,5,3,Kayonza
29.7717605322,-2.1935977245,2,3,Ruhango
29.7934631365,-2.3358608302,2,3,Nyanza
29.3990417408,-1.9037250988,3,3,Rutsiro
